last_updated,players
2025-06-09 16:00:33 UTC,"{'dg_id': 18103, 'driving_acc': 0.035, 'driving_dist': -9.229, 'player_name': 'Bezuidenhout, Christiaan', 'sg_app': 0.091, 'sg_arg': 0.234, 'sg_ott': -0.184, 'sg_putt': 0.332, 'sg_total': 0.473}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14181, 'driving_acc': -0.029, 'driving_dist': 6.051, 'player_name': 'Detry, Thomas', 'sg_app': -0.018, 'sg_arg': 0.059, 'sg_ott': 0.122, 'sg_putt': 0.307, 'sg_total': 0.469}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23504, 'driving_acc': 0.052, 'driving_dist': 4.762, 'player_name': 'Hoey, Rico', 'sg_app': 0.238, 'sg_arg': -0.037, 'sg_ott': 0.586, 'sg_putt': -0.323, 'sg_total': 0.464}"
2025-06-09 16:00:33 UTC,"{'dg_id': 15575, 'driving_acc': 0.01, 'driving_dist': -4.757, 'player_name': 'Hoge, Tom', 'sg_app': 0.481, 'sg_arg': 0.061, 'sg_ott': -0.221, 'sg_putt': 0.142, 'sg_total': 0.463}"
2025-06-09 16:00:33 UTC,"{'dg_id': 25157, 'driving_acc': 0.047, 'driving_dist': -1.181, 'player_name': 'Hodges, Lee', 'sg_app': 0.349, 'sg_arg': -0.057, 'sg_ott': 0.224, 'sg_putt': -0.055, 'sg_total': 0.462}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23604, 'driving_acc': -0.043, 'driving_dist': 12.298, 'player_name': 'Clark, Wyndham', 'sg_app': -0.171, 'sg_arg': 0.192, 'sg_ott': 0.232, 'sg_putt': 0.208, 'sg_total': 0.46}"
2025-06-09 16:00:33 UTC,"{'dg_id': 20722, 'driving_acc': -0.027, 'driving_dist': 10.346, 'player_name': 'Schmid, Matti', 'sg_app': 0.189, 'sg_arg': -0.194, 'sg_ott': 0.301, 'sg_putt': 0.159, 'sg_total': 0.455}"
2025-06-09 16:00:33 UTC,"{'dg_id': 15856, 'driving_acc': -0.069, 'driving_dist': 0.675, 'player_name': 'Smith, Cameron', 'sg_app': -0.185, 'sg_arg': 0.443, 'sg_ott': -0.377, 'sg_putt': 0.564, 'sg_total': 0.445}"
2025-06-09 16:00:33 UTC,"{'dg_id': 25908, 'driving_acc': -0.052, 'driving_dist': 5.879, 'player_name': 'Whaley, Vince', 'sg_app': -0.006, 'sg_arg': 0.101, 'sg_ott': 0.056, 'sg_putt': 0.292, 'sg_total': 0.443}"
2025-06-09 16:00:33 UTC,"{'dg_id': 26649, 'driving_acc': -0.017, 'driving_dist': 13.428, 'player_name': 'Thorbjornsen, Michael', 'sg_app': 0.11, 'sg_arg': -0.112, 'sg_ott': 0.489, 'sg_putt': -0.052, 'sg_total': 0.435}"
2025-06-09 16:00:33 UTC,"{'dg_id': 18580, 'driving_acc': 0.055, 'driving_dist': -4.264, 'player_name': 'Gooch, Talor', 'sg_app': 0.227, 'sg_arg': 0.081, 'sg_ott': 0.039, 'sg_putt': 0.078, 'sg_total': 0.424}"
2025-06-09 16:00:33 UTC,"{'dg_id': 32330, 'driving_acc': 0.008, 'driving_dist': 9.001, 'player_name': 'Clanton, Luke', 'sg_app': 0.168, 'sg_arg': -0.19, 'sg_ott': 0.477, 'sg_putt': -0.032, 'sg_total': 0.422}"
